,Model,Model Type,Score,Factuality,Precise IF,Math,Safety,Focus,Ties,RBv1
1,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Llama-3.1-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Llama-3.1-8B</a>",Seq. Classifier,84.12779216039524,84.63157894736842,66.25,77.59562841530054,96.66666666666667,98.38383838383838,81.23904054919743,
2,"<a target=""_blank"" href=""https://huggingface.co/ContextualAI/LMUnit-qwen2.5-72b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ContextualAI/LMUnit-qwen2.5-72b</a> *",Generative,82.07593468056355,87.1578947368421,54.37499999999999,72.6775956284153,91.33333333333333,96.76767676767678,90.14410761711382,
3,"<a target=""_blank"" href=""https://huggingface.co/ContextualAI/LMUnit-llama3.1-70b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ContextualAI/LMUnit-llama3.1-70b</a> *",Generative,80.53888642265044,84.63157894736842,48.75,71.58469945355192,90.66666666666666,96.96969696969697,90.63067649861863,
4,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Qwen3-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Qwen3-8B</a>",Seq. Classifier,78.37409729353149,79.89473684210526,50.0,77.04918032786885,94.0,96.36363636363636,72.93703022757848,
5,"<a target=""_blank"" href=""https://huggingface.co/google/gemini-2.5-flash-preview-04-17"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">google/gemini-2.5-flash-preview-04-17</a>",Generative,77.21098444224147,65.73684210526316,55.3125,81.14754098360656,90.94444444000001,86.71717171717171,83.40740740740742,
6,"<a target=""_blank"" href=""https://huggingface.co/nicolinho/QRM-Gemma-2-27B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">nicolinho/QRM-Gemma-2-27B</a>",Seq. Classifier,76.66668933211515,78.52631578947368,37.1875,69.94535519125684,95.77777777777777,95.35353535353536,83.2096518806473,94.43611331484492
7,"<a target=""_blank"" href=""https://huggingface.co/infly/INF-ORM-Llama3.1-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">infly/INF-ORM-Llama3.1-70B</a>",Seq. Classifier,76.48295733317504,74.10526315789474,41.875,69.94535519125684,96.44444444444444,90.30303030303031,86.22465090242382,95.1052956297468
8,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-opus-4-20250514"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-opus-4-20250514</a>",Generative,76.48277145949112,82.66666666666666,41.875,74.90892531876139,89.53703703703702,86.16161616161615,83.7473835728655,
9,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-70B-Instruct-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-70B-Instruct-RM-RB2</a>",Seq. Classifier,76.05646300951571,81.26315789473684,41.875,69.94535519125684,88.44444444444444,86.46464646464646,88.34617406200968,90.20891847250665
10,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-Gemma-2-27B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-Gemma-2-27B</a>",Seq. Classifier,75.75923527191762,73.68421052631578,40.3125,70.49180327868852,94.22222222222221,93.23232323232324,82.61235237195598,93.80116450605776
11,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Qwen3-4B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Qwen3-4B</a>",Seq. Classifier,75.51022543280415,77.36842105263158,46.25,73.224043715847,92.22222222222223,96.56565656565657,67.43100904046747,
12,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-3-7-sonnet-20250219"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-3-7-sonnet-20250219</a>",Generative,75.38767274570088,73.26315789473684,54.37499999999999,75.0,90.33333333333331,92.12121212121212,67.23333312492305,
13,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-Gemma-2-27B-v0.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-Gemma-2-27B-v0.2</a>",Seq. Classifier,75.31335876535626,76.73684210526316,37.5,67.21311475409836,96.88888888888889,91.71717171717172,81.82413512671539,94.26093621016116
14,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Llama-3.2-3B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Llama-3.2-3B</a>",Seq. Classifier,74.66480123197486,76.21052631578948,45.625,69.39890710382514,93.11111111111111,95.95959595959596,67.68366690152749,
15,"<a target=""_blank"" href=""https://huggingface.co/LxzGordon/URM-LLaMa-3.1-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">LxzGordon/URM-LLaMa-3.1-8B</a>",Seq. Classifier,73.94354072783193,68.84210526315789,45.0,63.934426229508205,91.77777777777779,97.57575757575758,76.53117752079017,92.93773298857982
